Locus_tag	Translation_start	Translation_stop	Strand	Gene	Raw_counts_replicate_1	Raw_counts_replicate_2	RPKM
b0088	97087	98403	+	murD	126886	84748	118
b0089	98403	99647	+	ftsW	215157	153941	219
b0090	99644	100711	+	murG	101280	81013	126
b0091	100765	102240	+	murC	151095	115962	134
b0092	102233	103153	+	ddlB	423394	313163	590
b0093	103155	103985	+	ftsQ	375861	263598	567
b0094	103982	105244	+	ftsA	385664	264158	379
b0095	105305	106456	+	ftsZ	435941	382847	528
b0096	106557	107474	+	lpxC	368844	310338	549
b0097	107705	108217	+	secM	247979	219787	678
b0098	108279	110984	+	secA	807969	688691	411
b0099	111044	111433	+	mutT	46774	32794	150
b0101	111649	111846	-	yacG	42682	33690	286
b0102	111856	112599	-	zapD	74459	71720	147
b0103	112599	113219	-	coaE	50756	41700	110
b0104	113444	114487	+	guaC	153167	111447	187
b0106	114522	115724	-	hofC	29579	24387	33
b0107	115714	117099	-	hofB	20750	15602	19
b0108	117109	117549	-	ppdD	10114	12109	38
b0109	117752	118645	-	nadC	53579	46538	83
b0110	118733	119284	+	ampD	38180	28758	90
b0111	119281	120135	+	ampE	55707	43982	86
b0112	120178	121551	-	aroP	39584	45036	46
b0113	122092	122856	+	pdhR	522567	485532	982
b0114	123017	125680	+	aceE	2678017	2040880	1309
b0115	125695	127587	+	aceF	1801237	1286100	1202
b0116	127912	129336	+	lpd	863208	693324	809
b0117	129407	131260	-	yacH	39154	33679	29
b0118	131615	134212	+	acnB	471608	412752	253
b0119	134388	134750	+	yacL	54660	26604	162
b0120	134788	135582	-	speD	219490	181281	374
b0121	135598	136464	-	speE	150915	150820	260
b0122	136570	136917	-	yacC	44253	26833	150
b0123	137083	138633	+	cueO	45877	38352	40
b0124	138835	141225	-	gcd	89193	66004	48
b0125	141431	141967	+	hpt	87763	67720	214
b0126	142008	142670	-	can	295767	289323	659
b0127	142779	143705	+	yadG	81075	63133	115
b0128	143702	144472	+	yadH	65776	50624	112
b0129	144577	145017	+	yadI	22116	15695	63
b0130	145081	146310	+	yadE	62973	42908	63
b0131	146314	146694	-	panD	85256	67023	296
b0132	146968	147870	+	yadD	44125	30269	61
b0133	147944	148795	-	panC	159330	126734	249
b0134	148807	149601	-	panB	112756	93821	193
b0135	149715	150953	-	yadC	37049	32767	42
b0136	151003	151599	-	yadK	8656	9484	23
b0137	151626	152231	-	yadL	13535	15216	36
b0138	152243	152812	-	yadM	7833	7751	20
b0139	152829	155426	-	htrE	40690	35621	22
b0140	155461	156201	-	yadV	8627	8319	17
b0141	156299	156883	-	yadN	7642	7786	20
b0142	157253	157732	-	folK	19741	15106	54
b0143	157729	159126	-	pcnB	207410	202845	219
b0144	159186	160112	-	gluQ	58117	61920	97
b0145	160149	160604	-	dksA	409730	366233	1266
b0146	160782	161486	-	sfsA	139195	111487	263
b0147	161501	162031	-	ligT	24709	18269	60
b0148	162105	164534	+	hrpB	131752	106071	73
b0149	164730	167264	+	mrcB	234020	201682	128
b0150	167484	169727	+	fhuA	154748	127159	93
b0151	169778	170575	+	fhuC	36271	23054	55
b0152	170575	171465	+	fhuD	24871	15182	33
b0153	171462	173444	+	fhuB	101870	72265	65
b0154	173602	174882	-	hemL	135091	114947	145
b0155	175107	176528	+	clcA	115959	85112	104
b0156	176610	176954	+	erpA	49584	43884	202
b0157	177001	177624	-	yadS	44522	39407	100
b0158	177662	178462	-	btuF	45211	30495	70
b0159	178455	179153	-	mtn	85015	63283	157
b0160	179237	180754	+	dgt	52472	46925	49
b0161	180884	182308	+	degP	170046	157420	171
b0162	182463	183620	+	cdaR	47798	37527	55
b0163	183709	184095	-	yaeH	61554	41865	197
b0164	184257	185069	-	yaeI	22858	17569	37
b0166	185123	185947	-	dapD	183042	143181	293
b0167	185978	188650	-	glnD	88370	76194	46
b0168	188712	189506	-	map	163443	153010	297
b4414	189712	189847	+	tff	60077	49691	599
b0169	189874	190599	+	rpsB	2453605	2168004	4735
b0170	190857	191708	+	tsf	1052875	801997	1609
b0171	191855	192580	+	pyrH	318979	269687	602
b0172	192872	193429	+	frr	303363	290108	794
b0173	193521	194717	+	dxr	87740	72818	100
b0174	194903	195664	+	ispU	248571	208864	446
b0175	195677	196534	+	cdsA	302655	236825	465
b0176	196546	197898	+	rseP	920674	662083	862
b0177	197928	200360	+	bamA	817010	646668	445
b0178	200482	200967	+	skp	573859	474726	1600
b0179	200971	201996	+	lpxD	293386	261514	402
b0180	202101	202556	+	fabZ	359397	316231	1102
b0181	202560	203348	+	lpxA	141536	118965	245
b0182	203348	204496	+	lpxB	175926	139833	204
b0183	204493	205089	+	rnhB	80775	72167	191
b0184	205126	208608	+	dnaE	374859	316815	147
b0185	208621	209580	+	accA	117326	98345	167
b0186	209679	211820	+	ldcC	61981	58365	42
b0187	211877	212266	+	yaeR	15098	15409	59
b0188	212331	213629	+	tilS	57920	50662	62
b0189	213678	213932	-	rof	32522	22950	160
b4406	213925	214125	-	yaeP	34832	28255	233
b0190	214291	214836	+	yaeQ	27473	21902	67
b0191	214833	215255	+	arfB	44597	31436	132
b0192	215269	215979	+	nlpE	78956	61845	147
b0193	216179	217003	-	yaeF	30681	30559	56
b0194	217057	218775	-	proS	354615	318264	291
b0195	218887	219594	-	tsaA	47430	40744	93
b0196	219591	219995	-	rcsF	21845	15721	68
b0197	220113	220928	-	metQ	75679	62351	125
b0198	220968	221621	-	metI	50273	35842	97
b0199	221614	222645	-	metN	41288	29534	51
b0200	222833	223408	+	gmhB	51712	35076	111
b0201	223771	225312	+	rrsH	1860884	1760126	1752
b0202	225381	225457	+	ileV	25083	25546	492
b0203	225500	225575	+	alaV	7426	5766	128
b0204	225759	228662	+	rrlH	2061806	1686460	957
b0205	228756	228875	+	rrfH	877	1044	12
b0206	228928	229004	+	aspU	2830	2903	56
b0207	229167	229970	+	dkgB	44970	26712	65
b0208	229967	230881	-	yafC	46056	32129	63
b0209	231122	231922	+	yafD	27461	23942	48
b0210	231926	232549	+	yafE	15470	21639	45
b0211	232597	233955	-	mltD	298696	290321	324
b0212	234027	234782	-	gloB	43971	34040	76
b0213	234816	235538	+	yafS	44494	26249	72
b0214	235535	236002	-	rnhA	28657	24762	85
b0215	236067	236798	+	dnaQ	82187	79339	165
b0216	236931	237007	+	aspV	4733	3057	74
b0217	237335	238120	+	yafT	51180	49243	95
b4586	238257	238736	-	ykfM	6225	8023	22
b0218	238746	239102	-	yafU	8548	8569	36
b4503	239106	239378	+	yafF	8039	6467	39
b0219	239419	240189	-	yafV	25402	19041	43
b0220	240343	240816	+	ivy	151370	115645	416
b0221	240859	243303	-	fadE	39029	37297	23
b0222	243543	244121	+	gmhA	66938	59777	163
b0223	244327	245094	+	yafJ	62496	63319	123
b0224	245065	245805	-	yafK	230722	226883	461
b0225	245961	246239	-	yafQ	45010	30711	200
b0226	246242	246502	-	dinJ	47567	40595	251
b0227	246712	247461	+	yafL	11821	12529	24
b0228	247637	248134	+	rayT	21669	14565	54
b0229	248358	250070	-	lfhA	23200	21314	19
b0230	250072	250827	+	lafU	12044	11215	23
b0231	250898	251953	+	dinB	34323	32635	47
b0232	252005	252298	+	yafN	22703	18682	104
b0233	252301	252699	+	yafO	24218	22539	87
b0234	252709	253161	+	yafP	17422	13523	51
b0235	253479	253685	+	ykfJ	2711	3146	21
b0236	253702	254202	+	prfH	10086	8601	28
b0237	254259	255716	-	pepD	249634	206679	232
b0238	255977	256435	+	gpt	122980	96950	355
b0256	269827	270978	+	insI1	284442	175167	292
b4587	270988	271413	+	insN	642	585	2
b0259	273325	274341	-	insH1	128679	102808	169
b0264	278402	278905	-	insB1	17905	15552	49
b0265	278824	279099	-	insA	10141	9682	54
b4708	279155	279328	+	insI1	14540	13277	119
b4505	279338	279586	-	insX	63	17	0
b4688	289653	289857	+	ykgS	662	726	5
b0274	289873	290376	-	insB1	18484	14589	49
b0275	290295	290570	-	insA	14594	12702	74
b0276	290628	291455	+	yagJ	502	511	1
b0298	314515	314814	+	insE1	10717	9037	49
b0299	314811	315677	+	insF1	8078	6322	12
b0340	358713	359183	+	cynS	5681	4954	17
b0341	359216	360370	+	cynX	22020	19811	27
b0342	360473	361084	-	lacA	8463	8870	21
b0343	361150	362403	-	lacY	41099	30738	42
b0344	362455	365529	-	lacZ	35286	27083	15
b0345	365652	366734	-	lacI	17174	15675	23
b0346	366811	367644	-	mhpR	13868	11446	23
b0347	367835	369499	+	mhpA	19176	13358	14
b0348	369501	370445	+	mhpB	12067	9706	17
b0349	370463	371329	+	mhpC	323100	258569	497
b0350	371339	372148	+	mhpD	617749	436011	958
b0351	372145	373095	+	mhpF	364324	278027	499
b0352	373092	374105	+	mhpE	348744	228676	418
b0353	374683	375894	+	mhpT	178508	130869	188
b0354	375996	376535	+	yaiL	102688	83804	256
b0355	376759	377592	-	frmB	66138	52488	105
b0356	377686	378795	-	frmA	33777	32452	45
b0357	378830	379105	-	frmR	22590	15249	101
b0358	379293	380066	-	yaiO	16968	13420	29
b4579	380068	380483	-	yaiX	6392	7151	24
b0360	380575	380940	+	insC1	34576	27618	126
b0361	380898	381803	+	insD1	42892	35450	64
b0363	381963	383159	-	yaiP	35326	36426	45
b0364	383283	383840	-	yaiS	7794	6853	20
b0365	384456	385418	+	tauA	18757	15066	26
b0366	385431	386198	+	tauB	16428	11824	27
b0367	386195	387022	+	tauC	23428	18695	38
b0368	387019	387870	+	tauD	18542	12462	27
b0369	387977	388951	-	hemB	74650	54154	97
b0372	390963	391829	-	insF1	20128	15356	30
b0373	391826	392125	-	insE1	13291	13258	66
b4580	392194	393642	+	yaiT	34249	33928	35
b0375	393730	394353	+	yaiV	13778	14710	34
b0376	394354	395511	-	ampH	61354	54548	74
b0377	395863	397083	+	sbmA	82442	56007	83
b0378	397096	398190	+	yaiW	42471	36856	54
b0379	398249	398557	-	yaiY	13350	9513	55
b0380	398817	399029	+	yaiZ	21714	15086	127
b0381	399053	400147	-	ddlA	105642	76412	123
b0382	400610	400870	+	iraP	10356	10429	60
b0383	400971	402386	+	phoA	32391	22944	29
b0384	402505	402825	+	psiF	14389	12412	62
b0385	402927	404042	+	yaiC	28290	19293	31
b0386	404059	404868	-	proC	42006	34512	70
b0387	404988	405446	+	yaiI	37777	36612	121
b0388	405629	406153	+	aroL	72719	73315	208
b0389	406203	406394	+	yaiA	36079	37382	287
b0390	406652	407329	+	aroM	54181	51751	117
b0391	407401	407685	+	yaiE	29415	24513	140
b0392	407833	408174	+	ykiA	26205	26312	115
b0393	408332	409243	-	rdgC	81610	68895	123
b0394	409368	410276	+	mak	31921	25397	47
b0396	410521	411705	-	araJ	42670	29402	45
b0397	411831	414977	-	sbcC	117199	95973	50
b0398	414974	416176	-	sbcD	40209	34836	46
b0399	416366	417055	+	phoB	23869	20251	47
b0400	417113	418408	+	phoR	37542	27248	37
b0401	418815	420134	+	brnQ	67755	55016	69
b0402	420210	421583	+	proY	86259	83101	92
b0403	421742	423556	+	malZ	43813	34219	32
b0404	423561	424142	-	acpH	16773	13357	38
b0405	424235	425305	+	queA	140598	125115	185
b0406	425361	426488	+	tgt	389435	316406	464
b0407	426511	426843	+	yajC	282969	233931	1151
b0408	426871	428718	+	secD	466764	345533	325
b0409	428729	429700	+	secF	126255	87696	162
b0410	429829	430176	+	yajD	75674	68302	308
b0411	430353	431237	-	tsx	852909	715622	1315
b0412	431536	432075	-	yajI	18537	17642	50
b0413	432226	432675	+	nrdR	65473	41185	174
b0414	432679	433782	+	ribD	69453	54417	83
b0415	433871	434341	+	ribE	249362	210305	724
b0416	434361	434780	+	nusB	305570	268376	1016
b0417	434858	435835	+	thiL	145694	118797	200
b0418	435813	436331	+	pgpA	168488	87552	359
b0419	436385	437359	-	yajO	100772	68939	128
b0420	437539	439401	-	dxs	120835	95783	86
b0421	439426	440325	-	ispA	118137	97179	177
b0422	440325	440567	-	xseB	133102	128826	805
b0423	440773	442221	+	thiI	176349	168425	178
b0424	442275	442865	-	yajL	34783	28667	80
b0425	442828	443739	-	panE	28810	23121	42
b0426	443907	444398	+	yajQ	282561	224558	763
b0427	444526	445890	-	yajR	83092	74873	86
b0428	446039	446929	-	cyoE	450396	346806	662
b0429	446941	447270	-	cyoD	347444	293611	1442
b0430	447270	447884	-	cyoC	508943	431399	1135
b0431	447874	449865	-	cyoB	1092589	819801	709
b0432	449887	450834	-	cyoA	968188	933304	1497
b0433	451294	452769	-	ampG	122001	118075	121
b0434	452813	453391	-	yajG	129877	121323	323
b0435	453696	454013	+	bolA	94623	84023	418
b0436	454357	455655	+	tig	1322986	1164666	1424
b0437	455901	456524	+	clpP	258589	165534	499
b0438	456650	457924	+	clpX	356105	301380	383
b0439	458112	460466	+	lon	585142	444854	323
b0440	460675	460947	+	hupB	476958	355394	2251
b0441	461139	463010	+	ppiD	523057	522510	418
b0442	463161	463532	+	ybaV	15168	10246	50
b0443	463626	464024	+	fadM	14743	13315	52
b0444	464076	464771	-	queC	41232	28983	74
b0445	464836	466536	-	ybaE	29104	24920	24
b0446	466636	467454	+	cof	23974	25335	45
b0447	467607	468065	+	ybaO	19465	16253	58
b0448	468095	469867	+	mdlA	59328	44624	43
b0449	469860	471641	+	mdlB	68907	64242	56
b0450	471822	472160	+	glnK	10813	7484	40
b0451	472190	473476	+	amtB	72548	55608	74
b0452	473525	474385	-	tesB	38242	31889	60
b0453	474603	475175	+	ybaY	13513	12423	34
b0454	475206	475595	-	ybaZ	14676	6761	40
b0455	475672	475785	+	ffs	3098	1986	33
b0456	475896	476249	+	ybaA	41452	23357	134
b0457	476291	477841	-	ylaB	74843	65048	67
b0458	478005	478475	-	ylaC	150454	119770	425
b0459	478591	479142	-	maa	88216	56996	193
b0460	479314	479532	-	hha	132567	111769	828
b0461	479558	479932	-	tomB	124353	102751	449
b0462	480478	483627	-	acrB	456114	358709	191
b0463	483650	484843	-	acrA	157701	128657	178
b0464	484985	485632	+	acrR	110747	90036	230
b0465	485760	489122	+	mscK	312345	256948	126
b0466	489334	489495	-	ybaM	15784	12826	131
b0467	489509	490036	-	priC	22785	21129	62
b0468	490106	490483	+	ybaN	23744	22290	91
b0469	490636	491187	+	apt	58090	60199	161
b0470	491316	493247	+	dnaX	255106	230531	187
b0471	493300	493629	+	ybaB	152601	124194	622
b0472	493629	494234	+	recR	99165	81965	222
b0473	494344	496218	+	htpG	411527	344216	299
b0474	496399	497043	+	adk	304112	245903	632
b0475	497279	498241	+	hemH	41926	41622	65
b0476	498238	499197	-	aes	41068	28506	53
b0477	499349	500653	+	gsk	210958	200356	235
b0478	500786	502462	-	ybaL	125451	87125	93
b0479	502700	503920	-	fsr	59709	47379	65
b0480	504138	505790	+	ushA	100843	81533	82
b0481	505827	506306	-	ybaK	25616	19280	69
b4585	506428	506511	+	chiX	4557	3552	71
b0482	506510	507304	-	ybaP	31289	24542	52
b0483	507442	507783	+	ybaQ	15838	17454	73
b0484	508099	510603	-	copA	96070	89180	55
b0485	510865	511797	+	glsA	21928	17371	31
b0486	511800	513092	+	ybaT	32110	27582	34
b0487	513217	513624	+	cueR	18103	15179	61
b0488	513625	514083	-	ybbJ	22286	17261	64
b0489	514080	514997	-	qmcA	34709	28850	51
b0490	515143	515820	+	ybbL	48194	40274	97
b0491	515807	516586	+	ybbM	53931	43057	92
b0492	516649	517503	-	ybbN	79311	74845	134
b0493	517564	518373	-	ybbO	49136	61246	103
b0494	518363	518989	-	tesA	34662	29671	76
b0495	518957	519643	+	ybbA	18981	14463	36
b0496	519640	522054	+	ybbP	78689	59079	42
b0497	522485	526765	+	rhsD	109126	82109	33
b0498	526805	527173	+	ybbC	22699	14068	73
b0499	527176	527883	+	ylbH	18375	13164	33
b0501	527864	528354	+	ybbD	9798	8508	28
b4632	528724	528816	+	ylbI	1080	1522	21
b0502	528819	529240	-	ylbG	12939	9999	40
b0503	529356	530450	-	selU	35580	26529	42
b0504	530519	531445	-	allS	11105	11113	18
b0505	531675	532157	+	allA	6548	7010	21
b0506	532235	533050	+	allR	127636	95329	202
b0507	533140	534921	+	gcl	24458	22502	20
b0508	534934	535710	+	hyi	11345	11764	22
b0509	535810	536688	+	glxR	17335	16760	29
b0511	536857	538311	+	ybbW	32809	39715	38
b0512	538371	539732	+	allB	24910	24398	27
b0513	539789	541090	+	ybbY	31732	28099	34
b0514	541112	542257	+	glxK	34642	29332	41
b0515	542485	543270	-	ylbA	25727	23666	47
b0516	543281	544516	-	allC	28747	22839	31
b0517	544538	545587	-	allD	8008	12673	15
b0518	545904	547571	+	fdrA	22097	17331	18
b4572	547581	548839	+	ylbE	17257	20721	23
b0520	548850	549665	+	ylbF	13125	12200	23
b0521	549662	550555	+	ybcF	23843	22963	39
b0522	550750	551817	-	purK	53298	50134	72
b0523	551814	552323	-	purE	17074	16477	49
b0524	552441	553163	-	lpxH	47309	41117	91
b0525	553166	553660	-	ppiB	1179554	1147029	3510
b0526	553834	555219	+	cysS	119916	97103	116
b0527	555255	555776	-	ybcI	31897	25095	81
b0528	555884	556096	-	ybcJ	5670	5888	41
b0529	556098	556964	-	folD	77218	65766	123
b0530	557435	557977	+	sfmA	3677	4463	11
b0531	558197	558889	+	sfmC	13899	14338	31
b0532	558920	561523	+	sfmD	50870	47331	28
b0533	561559	562542	+	sfmH	9160	10265	15
b0534	562553	563068	+	sfmF	4237	4492	13
b0535	563071	563703	-	fimZ	9955	11984	26
b0536	563946	564022	+	argU	7316	3972	107
b0537	564038	565201	-	intD	212664	146181	227
b4633	565081	565302	-	xisD	39325	27249	221
b0539	565321	565599	-	exoD	9321	10298	53
b4508	565599	565910	+	peaD	7440	7668	36
b0540	566065	566364	+	insE1	11392	9477	52
b0541	566361	567227	+	insF1	14012	10563	21
b0542	567258	567470	+	renD	22720	19924	149
b0543	567538	567870	+	emrE	142313	114683	572
b0544	568125	569651	+	ybcK	33283	27108	29
b0545	570116	570667	+	ybcL	13964	11309	34
b0546	570677	571474	+	ybcM	72342	62891	126
b4588	571591	571692	+	ylcH	2630	2379	37
b0547	571689	572144	+	ybcN	7060	7799	25
b0548	572144	572314	+	ninE	2841	2497	23
b0549	572307	572597	+	ybcO	4387	2643	18
b0550	572594	572956	+	rusA	5242	4471	20
b4509	572953	573093	+	ylcG	4120	3177	38
b0551	573179	573562	+	quuD	17002	17157	67
b0553	573752	573809	-	nmpC	4865	3654	109
b0552	573960	574976	-	insH1	137602	110119	180
b0554	576621	576836	+	essD	8689	8214	58
b0555	576836	577333	+	rrrD	37573	34401	108
b0556	577330	577791	+	rzpD	12571	11258	38
b4510	577550	577732	+	rzoD	2980	2983	24
b0557	577823	578116	-	borD	13096	11470	62
b0558	578407	578817	-	ybcV	5474	4868	19
b0559	579103	579309	+	ybcW	5648	3774	33
b4589	579474	579668	-	ylcI	10654	8751	74
b0560	580057	580602	+	nohD	10037	7980	24
b4634	580577	580885	+	aaaD	3778	3282	17
b0561	580883	581320	+	tfaD	16145	13310	50
b0562	581375	582029	-	ybcY	18354	13897	36
b0563	582176	582358	+	tfaX	4046	4422	35
b0564	582904	583653	+	appY	84034	74501	157
b0565	583903	584856	-	ompT	2723419	2077353	3719
b4635	585280	585324	+	pauD	1104	1027	35
b0566	585370	586131	-	envY	19096	17961	36
b0567	586314	587204	-	ybcH	21591	18613	34
b0568	587205	590177	-	nfrA	118057	94339	53
b0569	590164	592401	-	nfrB	130147	83688	70
b0570	592551	593993	-	cusS	46514	45435	48
b0571	593983	594666	-	cusR	18596	11545	32
b0572	594823	596196	+	cusC	19192	22081	23
b0573	596354	596686	+	cusF	7521	7201	33
b0574	596702	597925	+	cusB	21057	19026	24
b0575	597937	601080	+	cusA	51892	41948	22
b0576	601182	602558	+	pheP	105391	101175	112
b0577	602639	603886	-	ybdG	87626	77110	98
b0578	603994	604647	-	nfsB	61536	51067	128
b0579	604741	605109	-	ybdF	36335	35704	146
b0580	605174	605422	-	ybdJ	25682	24320	150
b0581	605488	606606	-	ybdK	21734	24630	31
b4700	606957	607015	+	sokE	2843	2116	62
b4415	607059	607211	+	hokE	3335	2754	30
b0582	607288	608400	+	insL1	169518	144051	209
b0583	608682	609302	-	entD	9998	11544	26
b0584	609477	611717	-	fepA	33483	35679	23
b0585	612038	613162	+	fes	16160	16655	22
b4511	613165	613383	+	ybdZ	2211	2567	16
b0586	613380	617261	+	entF	47567	41312	17
b0587	617477	618610	+	fepE	25025	16146	27
b0588	618607	619422	-	fepC	18530	13717	29
b0589	619419	620411	-	fepG	17837	12758	23
b0590	620408	621412	-	fepD	16701	12323	21
b0591	621523	622773	+	entS	48570	38460	52
b0592	622777	623733	-	fepB	19601	14511	26
b0593	624108	625283	+	entC	25694	21738	30
b0594	625293	626903	+	entE	28937	24690	25
b0595	626917	627774	+	entB	15382	10591	22
b0596	627774	628520	+	entA	9381	8837	18
b0597	628523	628936	+	entH	6957	6651	25
b0598	629117	631222	+	cstA	95683	77604	61
b4512	631405	631602	+	ybdD	13346	10501	89
b0599	631612	632700	-	ybdH	46745	36097	56
b0600	632809	633969	+	ybdL	26610	19065	29
b0601	633970	634599	-	ybdM	22159	18236	48
b0602	634572	635792	-	ybdN	28187	24377	32
b0603	635939	636841	-	ybdO	14760	12306	22
b0604	637050	637796	-	dsbG	66311	50421	116
b0605	638168	638731	+	ahpC	1340000	1426987	3678
b0606	638976	640541	+	ahpF	601730	612605	580
b0607	640662	641090	-	uspG	63850	48864	194
b0608	641311	642549	+	ybdR	38505	32468	43
b0610	642780	643190	-	rnk	18097	14783	59
b0611	643420	644226	-	rna	54222	51236	98
b0612	644340	645803	-	citT	27281	24823	27
b0613	645854	646732	-	citG	10824	7230	15
b0614	646707	647258	-	citX	10364	4920	20
b0615	647262	648794	-	citF	17562	15798	16
b0616	648805	649713	-	citE	11067	10140	17
b0617	649710	650006	-	citD	4071	2919	17
b0618	650021	651079	-	citC	18276	14349	23
b0619	651458	653116	+	dpiB	59360	44929	46
b0620	653085	653765	+	dpiA	19249	17208	40
b0621	653806	655191	-	dcuC	56329	46378	55
b0622	655780	656340	+	pagP	20379	12071	42
b0623	656515	656724	+	cspE	271994	149048	1462
b0624	656778	657161	-	crcB	52850	39795	178
b4581	657254	658041	+	ybeM	14291	12412	25
b0627	658170	658373	+	tatE	16721	14108	112
b0628	658474	659439	-	lipA	157285	112859	206
b0629	659648	660601	-	ybeF	37691	38253	60
b0630	660860	661501	-	lipB	34557	30145	75
b0631	661602	661865	-	ybeD	36881	31364	192
b0632	661975	663186	-	dacA	160100	165942	201
b0633	663325	664413	-	rlpA	91262	66710	107
b0634	664424	665536	-	mrdB	133992	79642	140
b0635	665539	667440	-	mrdA	193654	188964	150
b0636	667471	667938	-	rlmH	41418	41709	133
b0637	667942	668259	-	rsfS	90853	87666	419
b0638	668519	669130	-	cobC	45927	31619	93
b0639	669154	669795	-	nadD	65527	40626	121
b0640	669797	670828	-	holA	126544	103828	166
b0641	670828	671409	-	lptE	158036	119007	352
b0642	671424	674006	-	leuS	788985	565421	387
b0643	674241	674723	+	ybeL	42714	25785	104
b0644	674793	675770	-	ybeQ	19649	19032	30
b0645	675934	676641	+	ybeR	7196	8149	16
b0646	676638	678065	+	djlB	24154	24397	25
b0647	678075	678629	-	ybeT	7117	6737	19
b0648	678731	679438	+	ybeU	15434	13407	30
b0649	679435	680886	+	djlC	44664	35237	41
b0650	680946	682616	-	hscC	33906	30973	29
b0651	682700	683635	-	rihA	137652	107706	194
b0652	683753	684478	-	gltL	42968	35410	80
b0653	684478	685152	-	gltK	44648	41704	95
